"Datum","Umsatz_letzte_1_Tage","Umsatz_letzte_3_Tage","Umsatz_letzte_7_Tage","Umsatz_letzte_30_Tage"
2013-07-01,NA,NA,NA,NA
2013-07-02,253.849821463996,253.849821463996,253.849821463996,253.849821463996
2013-07-03,286.001679465347,269.925750464671,269.925750464671,269.925750464671
2013-07-04,224.854978824029,254.902159917791,254.902159917791,254.902159917791
2013-07-05,236.861913403576,249.23952389765,250.392098289237,250.392098289237
2013-07-06,257.604612042404,239.773834756669,251.83460103987,251.83460103987
2013-07-07,308.105979511633,267.524168319204,261.213164118497,261.213164118497
2013-07-08,306.474585482631,290.728392345556,267.679081456231,267.679081456231
2013-07-09,240.784338924646,285.121634639637,265.812583950609,264.317238639783
2013-07-10,277.022465869369,274.760463425549,264.529839151184,265.728930554181
2013-07-11,276.953187796526,264.91999753018,271.972440432969,266.851356278416
2013-07-12,265.372326260708,273.115993308868,276.045356555417,266.716899004079
2013-07-13,338.679253384828,290.453184558963,286.125924493143,271.595702690909
2013-07-14,332.372276326999,310.245716176989,289.694497554227,276.343872506229
2013-07-15,357.310753056217,343.080868603957,297.170404550342,282.211037763474
2013-07-16,296.392681171668,328.691903518295,305.34810193961,283.169256912676
2013-07-17,275.049799001653,309.584411076513,305.058003870828,282.655367171472
2013-07-18,369.417580921367,309.634480325148,317.117470191243,286.836678677491
2013-07-19,277.950838486269,303.048107937506,319.023305376934,286.331801393899
2013-07-20,305.415272086151,313.892919753398,314.709659539125,287.35779444187
2013-07-21,357.647206453865,313.671105675428,318.42656102837,290.943988932278
2013-07-22,319.803146761994,327.62187510067,312.910736573337,292.344918924011
2013-07-23,306.487754079608,327.979369098489,314.395306118622,292.999679810845
2013-07-24,302.297232054532,309.529377632045,318.402281567575,293.411075927822
2013-07-25,315.83538122414,308.206789119427,312.205261592365,294.361258355632
2013-07-26,299.768908308504,305.967173862392,315.322128709828,294.581081524448
2013-07-27,320.460632770395,312.02164076768,317.471465950434,295.592001494993
2013-07-28,439.720261896766,347.144910927254,325.94548010538,299.959524537471
2013-07-29,438.950647604824,393.614369373718,340.573732733099,304.047498745334
2013-07-30,395.262693358016,424.644534286536,352.735786975821,306.653647162839
2013-07-31,400.211832330107,411.475057764316,366.996979105614,309.252485639708
2013-08-01,390.162345186399,395.212290291508,378.612627563298,313.452854584221
2013-08-02,302.550763378683,359.557732843034,379.076270074995,314.03149388189
2013-08-03,307.414972606711,329.319861476612,376.901993381047,316.918206951214
2013-08-04,404.418595675388,338.128110553594,373.234572007139,322.776832205473
2013-08-05,375.835772768432,362.556447016844,365.42650017638,326.910788874216
2013-08-06,338.3962721396,375.346923626964,358.318197524078,327.896464788825
2013-08-07,297.241779967011,337.069489445401,343.986178523792,327.571366003063
2013-08-08,305.646779278412,312.001991770394,332.915541380341,329.855254747914
2013-08-09,299.801501427656,300.896686891026,332.511238152249,330.657333464755
2013-08-10,305.078638196702,303.50897296759,332.167659562541,331.647666225325
2013-08-11,332.456094406996,312.445411343785,321.584938787778,334.009770737518
2013-08-12,345.070734938958,327.535155847552,317.060668518738,334.265902838343
2013-08-13,274.382833969655,317.303221105203,308.525480312199,332.238299958716
2013-08-14,279.913210806031,299.788926571548,306.049970432059,329.53209218773
2013-08-15,306.60667370379,286.967572826492,306.187098207113,329.889224793748
2013-08-16,289.187321397585,291.902401969135,304.670786774245,330.383543758641
2013-08-17,272.289155735964,289.361050279113,299.98657499414,327.282098697778
2013-08-18,340.364428188826,300.613635107458,301.116336962973,329.449237229117
2013-08-19,334.779542946181,315.811042290324,299.64616667829,330.468829967312
2013-08-20,275.367584578221,316.837185237743,299.786845336657,327.611898652186
2013-08-21,250.557221890313,286.901449804905,295.593132634411,325.207526260808
2013-08-22,251.180387480115,259.03506464955,287.675091745315,323.287131587214
2013-08-23,262.89288738629,254.876832252239,283.918744029416,321.918925175123
2013-08-24,279.420420387492,264.497898417966,284.937496122491,320.654516812739
2013-08-25,370.564702554085,304.292670109289,289.251821031814,323.112704112933
2013-08-26,361.271709317276,337.085610752951,293.036416227685,324.529755381922
2013-08-27,267.095354071291,332.977255314217,291.854669012409,319.371589639766
2013-08-28,241.391371383455,289.919478257341,290.545261797143,313.424895645644
2013-08-29,237.992029270954,248.826251575233,288.661210624406,308.632273042087
2013-08-30,245.394888704882,241.592763119764,286.161496527062,304.020751698586
2013-08-31,246.165084384215,243.184000786683,281.41073424088,299.766760352794
2013-09-01,281.565401428685,257.708458172594,268.696548365822,299.062553575948
2013-09-02,271.450517923326,266.393667912075,255.864949595258,297.855692680532
2013-09-03,197.591419332331,250.202446228114,245.935816061121,290.915183407275
2013-09-04,201.587347665136,223.543094973598,240.249526958504,285.067920819917
2013-09-05,207.269855007702,202.14954066839,235.860644920897,281.052562590985
2013-09-06,220.828796349413,209.895333007417,232.35120315583,278.505463137065
2013-09-07,227.43047354608,218.509708301065,229.674830178953,275.898252945987
2013-09-08,301.18023939221,249.813169762567,232.476949888028,275.944210878139
2013-09-09,299.263694373547,275.958135770612,236.450260809488,275.750379417367
2013-09-10,200.442518306641,266.962150690799,236.857560662961,271.349926880688
2013-09-11,197.480138101238,232.395450260475,236.270816439547,266.430240319431
2013-09-12,192.325887887908,196.749514765262,234.135963993862,263.695008783373
2013-09-13,192.18371050878,193.996578832642,230.043808873772,260.770692106798
2013-09-14,208.882638650496,197.797412349061,227.394118174403,257.513224271688
2013-09-15,277.600641267427,226.222330142234,224.025604156577,257.127001600683
2013-09-16,253.762529344508,246.748603087477,217.525437723857,256.509447387634
2013-09-17,192.016629960782,241.126600190906,216.321739388734,251.564520780033
2013-09-18,197.468806432033,214.415988579108,216.320120578848,246.987496229561
2013-09-19,191.71267464457,193.732703679128,216.232518686942,244.198999231773
2013-09-20,199.017212491444,196.066231189349,217.208733255894,242.480998918477
2013-09-21,214.044375189567,201.591420775194,217.946124190047,241.243131842125
2013-09-22,259.938878013496,224.333488564836,215.423015153771,241.144664863032
2013-09-23,268.867863732529,247.617038978531,217.580920066346,240.792912974534
2013-09-24,186.493155796593,238.433299180873,216.791852328605,234.657194749284
2013-09-25,182.934844466974,212.765287998699,214.715572047882,228.712632587607
2013-09-26,193.384189069555,187.604063111041,214.95435982288,226.255593754216
2013-09-27,200.848742024674,192.389258520401,215.216006899055,224.90417277559
2013-09-28,190.547986363915,194.926972486048,211.859379923962,223.322704678688
2013-09-29,270.010582691272,220.469103693287,213.29819487793,224.143227811568
2013-09-30,244.108513342106,234.889027465764,209.761144822155,224.074675443498
2013-10-01,217.73256637485,243.950554136076,214.223917761906,221.946914275037
2013-10-02,207.014839202474,222.951972973143,217.663917009835,219.799058317675
2013-10-03,243.913674931838,222.887026836387,224.882414990161,221.343133504325
2013-10-04,289.997404322753,246.975306152355,237.617938175601,224.290135392912
2013-10-05,238.406813655791,257.439297636794,244.454913503012,225.328034014515
2013-10-06,260.776773399792,263.060330459446,243.135797889944,226.659633249528
2013-10-07,264.615597005631,254.599728020405,246.065381270447,227.899137364846
2013-10-08,206.555667922519,243.982679442648,244.468681491543,224.744984982523
2013-10-09,184.013339821605,218.394868249919,241.182753008562,220.903306497459
2013-10-10,207.026190643769,199.198399462631,235.91311239598,221.12276224203
2013-10-11,192.612959955097,194.550830140157,222.001048914886,220.960522970492
2013-10-12,188.548894731224,196.062681776697,214.87848906852,220.834623198602
2013-10-13,225.827493194379,202.3297826269,209.885734753461,221.956082621455
2013-10-14,216.00928138399,210.128556436531,202.941975378941,222.193637379239
2013-10-15,183.333550838887,208.390108472419,199.624530081279,219.051401031621
2013-10-16,185.120216608995,194.821016277291,199.78265533662,216.763323940437
2013-10-17,198.809209754812,189.087659067565,198.608800923912,216.989743266904
2013-10-18,176.69901727258,186.876147878796,196.335380540695,216.297416961589
2013-10-19,189.419713378914,188.309313468769,196.459783204651,216.220984919401
2013-10-20,212.584073788372,192.900934813289,194.56786614665,216.673213629298
2013-10-21,209.215508035544,203.73976506761,193.597327096872,216.512251390831
2013-10-22,170.557105619681,197.452229147866,191.772120636985,213.532858977704
2013-10-23,191.358895167434,190.377169607553,192.663360431048,210.949226692201
2013-10-24,191.613895179036,184.50996532205,191.635458348794,211.119918004949
2013-10-25,168.421683427451,182.837128268566,189.841001566934,210.356579993193
2013-10-26,159.121448835987,171.960486439753,184.916383311648,208.892442938423
2013-10-27,182.754228037757,170.099120100398,180.934504784622,208.130280946036
2013-10-28,223.094339903878,188.323338925874,183.794863616954,209.284149950306
